Model,Xviewer,
BlockNumber,1,
TraceName,CH1,CH2
BlockSize,10010,10010
Date,25-05-2022,25-05-2022
Time,39:35.8,39:35.8
VUnit,V,V
HResolution,5.00E-06,5.00E-06
HOffset,-2.50E-02,-2.50E-02
HUnit,s,s
,2.56,4.453333
,2.573333,4.44
,2.573333,4.453333
,2.566667,4.453333
,2.556667,4.44
,2.566667,4.453333
,2.573333,4.44
,2.56,4.44
,2.566667,4.44
,2.566667,4.453333
,2.556667,4.453333
,2.573333,4.466667
,2.566667,4.453333
,2.566667,4.453333
,2.573333,4.466667
,2.556667,4.453333
,2.573333,4.453333
,2.573333,4.466667
,2.566667,4.466667
,2.573333,4.453333
,2.573333,4.453333
,2.56,4.466667
,2.566667,4.466667
,2.586667,4.466667
,2.58,4.466667
,2.573333,4.466667
,2.566667,4.466667
,2.56,4.48
,2.573333,4.466667
,2.573333,4.48
,2.58,4.453333
,2.56,4.48
,2.573333,4.466667
,2.58,4.48
,2.566667,4.466667
,2.58,4.453333
,2.573333,4.466667
,2.573333,4.453333
,2.586667,4.48
,2.573333,4.493333
,2.566667,4.493333
,2.573333,4.466667
,2.573333,4.48
,2.573333,4.466667
,2.58,4.466667
,2.566667,4.48
,2.58,4.493333
,2.58,4.48
,2.573333,4.48
,2.58,4.48
,2.58,4.493333
,2.573333,4.5
,2.58,4.5
,2.573333,4.48
,2.586667,4.48
,2.593333,4.48
,2.58,4.5
,2.586667,4.48
,2.58,4.48
,2.586667,4.493333
,2.586667,4.5
,2.593333,4.493333
,2.58,4.493333
,2.593333,4.5
,2.58,4.493333
,2.58,4.493333
,2.586667,4.513333
,2.596667,4.493333
,2.593333,4.493333
,2.586667,4.493333
,2.593333,4.493333
,2.596667,4.493333
,2.58,4.513333
,2.596667,4.48
,2.596667,4.493333
,2.586667,4.5
,2.593333,4.493333
,2.58,4.513333
,2.586667,4.513333
,2.58,4.5
,2.586667,4.493333
,2.61,4.5
,2.596667,4.513333
,2.586667,4.526667
,2.586667,4.513333
,2.593333,4.513333
,2.603333,4.513333
,2.596667,4.5
,2.593333,4.493333
,2.58,4.513333
,2.593333,4.513333
,2.593333,4.513333
,2.596667,4.513333
,2.596667,4.513333
,2.596667,4.513333
,2.596667,4.493333
,2.596667,4.513333
,2.596667,4.513333
,2.593333,4.5
,2.593333,4.5
,2.593333,4.513333
,2.586667,4.5
,2.586667,4.526667
,2.603333,4.526667
,2.596667,4.54
,2.593333,4.526667
,2.596667,4.54
,2.593333,4.513333
,2.603333,4.513333
,2.603333,4.54
,2.603333,4.513333
,2.61,4.513333
,2.593333,4.513333
,2.586667,4.513333
,2.596667,4.54
,2.596667,4.526667
,2.596667,4.526667
,2.596667,4.513333
,2.596667,4.526667
,2.596667,4.513333
,2.596667,4.513333
,2.616667,4.54
,2.603333,4.54
,2.603333,4.526667
,2.596667,4.513333
,2.596667,4.54
,2.596667,4.513333
,2.596667,4.526667
,2.603333,4.54
,2.603333,4.526667
